"filename", "language", "Dart", "YAML", "Swift", "XML", "JSON", "C++", "comment", "blank", "total"
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\chat_gemini\chat_with_gemini.dart", "Dart", -4, 0, 0, 0, 0, 0, 0, -1, -5
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\features\presentation\meditation\page\meditation_screen.dart", "Dart", -4, 0, 0, 0, 0, 0, 0, -1, -5
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\lib\main.dart", "Dart", 33, 0, 0, 0, 0, 0, 10, -1, 42
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, -7, -4, -5, -16
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, -5, -5, -6, -16
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, -5, 0, -2, -7
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, -83, -21, -27, -131
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, -7, -7, -5, -19
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, -22, 0, 0, 0, -3, -4, -29
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, -7, 0, 0, 0, -2, -4, -13
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Runner\AppDelegate.swift", "Swift", 0, 0, -11, 0, 0, 0, 0, -3, -14
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, -68, 0, 0, -1, -69
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, -343, 0, 0, 0, -1, -344
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, -12, 0, 0, 0, 0, -4, -16
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 3
"Total", "-", 25, 0, -52, -343, -68, -107, -29, -65, -639